club_name,league_name
Bohemians 1905,Other
Bologna FC 1909,Serie A
Bolton Wanderers,Premier League
Borac Cacak,Other
Boreham Wood,Other
Borussia Dortmund,1 Bundesliga
Borussia Mönchengladbach,1 Bundesliga
Boston River,Uruguay
Botafogo,Brazil
Botev Plovdiv,Other
Bourg-en-Bresse,Other
Bradford City,Premier League
Bragantino,Brazil
Brasa,Other
Brasiliense-DF,Other
Bray Wanderers,Other
Brentford FC,Premier League
Brescia Calcio,Serie A
Brighton & Hove Albion,Premier League
Brisbane Roar,Other
Bristol City,Premier League
Bristol Rovers,Other
Brommapojkarna,Sweden
Bryne FK,Norway
Bröndby IF,Other
Buildcon FC,Other
Bunyodkor,Other
Burgos CF,Primera Division
Buriram Utd.,Other
Burnley FC,Premier League
Bursaspor,Turkey
Burton Albion,Premier League
Bury,Other
Bury Town,Other
Busan I'Cons,Other
C. Rizespor,Other
CA Banfield,Argentina
CA Bizertin,Other
CA Colón,Argentina
CA Fénix,Uruguay
CA Osasuna,Primera Division
CA Rosario,Other
CA Talleres,Argentina
CA Valdevez,Other
CABJ U20,Other
CC Yatai,Other
CD Castellón,Other
CD Cruz Azul,Mexico
CD El Nacional,Other
CD Feirense,Liga Nos
CD Fátima,Other
CD Guadalajara,Mexico
CD La Equidad,Other
CD Leganés,Primera Division
CD Lugo,Other
CD Nacional,Liga Nos
CD Numancia,Primera Division
CD Ourense,Other
CD Santa Clara,Other
CD Tenerife,Primera Division
CD Tondela,Liga Nos
CDUC,Other
CF Estrela Amadora SAD,Liga Nos
CF Extremadura (diss.),Primera Division
CF Pachuca,Mexico
CFR Cluj,Romania
CP Mérida (diss.),Primera Division
CR Belouizdad,Other
CRB,Other
CS Marítimo,Liga Nos
CS Sedan-Ardennes,Ligue 1
CS Sfaxien,Other
CS U Craiova,Other
CSKA Moscow,Premier Liga
CSKA Sofia,Other
CSKA-Sofia,Other
Cagliari Calcio,Serie A
Calcio Catania,Serie A
Calcio Monza,Other
Calcio Padova,Serie A
Cambridge Utd.,Other
Cambuur L.,Other
Cambuur-Leeuwarden bvo,Eredivisie
Campodarsego,Other
Carabobo FC,Other
Caracas FC,Other
Cardiff City,Premier League
Career break,Other
Carl Zeiss Jena,Other
Carlisle United,Other
Carpi FC 1909,Serie A
Carrarese,Other
Casino Salzburg,Other
Cassis Carnoux,Other
Castel di Sangr,Other
Catanzaro,Other
Ceará SC,Brazil
Celano,Other
Celta de Vigo,Primera Division
Celtic,Scotland
Central Coast,Other
Cercle Brugge,Belgium
Cerezo Osaka,Other
Cerro Porteño,Other
Chacarita Jrs,Other
Chaika Pes.,Other
Chamois Niort,Other
Chapecoense,Brazil
Charlton Athletic,Premier League
Chelmsford City,Other
Chelsea FC,Premier League
Cheltenham,Other
Chemnitzer FC,Other
Chernomorets N.,Other
Cherry Orchard FC,Other
Chertanovo,Other
Chertsey,Other
Chester City,Other
Chesterfield FC,Other
Chiapas FC,Other
Chicago Fire,Usa
Chieti,Other
Chievo Verona,Serie A
Chippenham,Other
Chivas,Other
Chivas USA,Usa
Chmel Blsany,Other
Chunnam Dragons,Other
Cianorte,Other
Cienciano,Other
Cittadella,Other
Ciudad Murcia,Other
Clermont Foot,Other
Cliftonville,Other
Club Africain,Other
Club América,Mexico
Club Brugge,Belgium
Club Tijuana,Mexico
Cobreloa,Chile
Coimbra-MG,Other
Colchester United,Premier League
Colchester Utd.,Other
Colo Colo,Chile
Columbus Crew,Other
Comercial-SP,Other
Como Calcio,Serie A
Corinthians,Brazil
Coritiba FC,Brazil
Cork City,Other
Cortuluá,Other
Cosenza,Other
Coventry City,Premier League
Covilhã,Other
Cracovia,Polonia
Crawley Town,Other
Crewe Alexandra,Premier League
Croatia Zagreb,Other
Cruzeiro,Brazil
Crystal Palace,Premier League
Cukaricki,Other
Cádiz CF,Primera Division
Córdoba CF,Primera Division
D.C. United,Usa
DL Pro,Other
DL Shide,Other
Dag & Red FC,Other
Damash Gilan,Other
Danubio FC,Uruguay
Darlington,Other
Dartford,Other
De Graafschap Doetinchem,Eredivisie
Debrecen,Hungary
Defensa,Argentina
Defensor,Uruguay
Delfino Pescara 1936,Serie A
Denizlispor,Turkey
Dep. La Coruña,Other
Dep. La Guaira,Other
Deportivo Alavés,Primera Division
Deportivo Cali,Other
Deportivo Lara,Other
Deportivo de La Coruña,Primera Division
Derby County,Premier League
Derry City,Other
Desp. Brasil,Other
Desportivo Aves,Liga Nos
Diables Noirs,Other
Dijon FCO,Ligue 1
Din. Zagreb II,Other
Dinamo Bryansk,Other
Dinamo Bucarest,Romania
Dinamo Minsk,Other
Dinamo Tbilisi,Other
Dinamo Zagreb,Croatia
Dinamo-Gazovik Tyumen,Other
Djoliba AC,Other
Djurgarden,Other
Dnepr Smolensk,Other
Dnipro,Ukraine
Doncaster Rovers,Premier League
Dordrecht'90,Other
Dresdner SC,Other
Dulwich Hamlet FC,Other
Dumbarton FC,Scotland
Dunajska Streda,Other
Dundalk FC,Other
Dundee FC,Scotland
Dundee United,Scotland
Dunfermline A.,Other
Dynamo Brest,Other
Dynamo Kyiv,Ukraine
Dynamo Moscow,Premier Liga
E. Braunschweig,Other
E. Frankfurt,Other
EA Guingamp,Ligue 1
EC Bahia,Other
EC Pelotas (RS),Other
EC Vitória,Other
ES Sahel,Other
ES Troyes AC,Ligue 1
ETO FC Győr,Other
East Fife,Other
Eastleigh FC,Other
Eastwood Town,Other
Ebbsfleet Utd,Other
Eintracht Braunschweig,1 Bundesliga
Eintracht Frankfurt,1 Bundesliga
Eintracht Trier,Other
El Ahly,Other
El Gouna,Other
El Masry,Other
Elche CF,Primera Division
Elfsborg,Sweden
Enisey Krasnoyarsk,Other
Enppi SC,Other
Entente SSG,Other
Enugu Rangers,Other
Envigado,Other
Ergotelis,Greece
Ermis Aradippou,Other
Erzgebirge Aue,Other
Esbjerg fB,Denmark
Española,Uruguay
Esperance,Other
Estoril Praia,Liga Nos
Estudiantes,Argentina
Everton FC,Premier League
Exc. Mouscron,Other
Exeter City,Other
F. Düsseldorf,Other
FA Selangor,Other
FAR Rabat,Other
FBC Melgar,Other
FC 08 Homburg,Other
FC Aarau,Switzerland
FC Alverca,Liga Nos
FC Arouca,Other
FC Ashdod,Other
FC Astana,Other
FC Augsburg,1 Bundesliga
FC Barcelona,Primera Division
FC Basel,Switzerland
FC Botosani,Other
FC Cartagena,Other
FC Chiasso,Other
FC Copenhagen,Denmark
FC Crotone,Serie A
FC Dallas,Usa
FC Den Bosch,Other
FC Dila,Other
FC Dordrecht,Other
FC Eindhoven,Other
FC Emmen,Eredivisie
FC Empoli,Serie A
FC Energie Cottbus,1 Bundesliga
FC Famalicão,Liga Nos
FC Flora,Other
FC Girondins Bordeaux,Ligue 1
FC Groningen,Eredivisie
FC Gueugnon,Other
FC Gütersloh,Other
FC Haka,Other
FC Hansa Rostock,1 Bundesliga
FC Ingolstadt 04,1 Bundesliga
FC Internazionale,Serie A
FC Istres Ouest Provence,Ligue 1
FC Jokerit,Other
FC Koper,Other
FC Kärnten,Austria
FC Lahti,Other
FC Liefering,Other
FC Locomotive,Other
FC Lorient,Ligue 1
FC Lugano,Switzerland
FC Lustenau,Other
FC Luzern,Switzerland
FC Messina Peloro,Serie A
FC Metz,Ligue 1
FC Midtjylland,Denmark
FC NITEL Lagos,Other
FC Nantes,Ligue 1
FC National,Other
FC Omniworld,Other
FC Oss,Other
FC Pasching,Other
FC Paços de Ferreira,Liga Nos
FC Penafiel,Liga Nos
FC Porto,Liga Nos
FC Schalke 04,1 Bundesliga
FC Senec,Other
FC Seoul,Other
FC Shkupi,Other
FC Sion,Switzerland
FC Sochaux-Montbéliard,Ligue 1
FC Sochi,Premier Liga
FC St. Gallen,Switzerland
FC St. Pauli,1 Bundesliga
FC Starnberg,Other
FC São Paulo B,Other
FC Thun,Switzerland
FC Timisoara,Other
FC Tirol,Austria
FC Tokyo,Other
FC Toulouse,Ligue 1
FC Twente U21,Other
FC U Craiova,Romania
FC Utrecht,Eredivisie
FC Vaduz,Other
FC Vaslui,Romania
FC Viitorul,Romania
FC Volendam,Other
FC Voluntari,Romania
FC Vysocina,Other
FC Wacker,Austria
FC Wil 1900,Switzerland
FC Zwolle,Other
FC Zürich,Switzerland
FC Évian Thonon Gaillard,Ligue 1
FCSB,Romania
FF Jaro,Other
FK Jablonec,Other
FK Khimki,Other
FK Krasnodar,Premier Liga
FK Lyn,Other
FK Moskau,Other
FK Orenburg,Premier Liga
FK Pardubice,Other
FK Partizani,Other
FK Rostov,Premier Liga
FK Teplice,Other
FK Tosno,Other
FK Ufa,Premier Liga
FS Stars,Other
FSV Frankfurt,Other
FUS Rabat,Other
FV Bad Honnef,Other
Falkenberg,Sweden
Falkirk FC,Scotland
Fenerbahce,Turkey
Ferencváros,Hungary
Ferro,Brazil
Feyenoord Rotterdam,Eredivisie
Figueirense FC,Brazil
Flamengo,Brazil
Fleetwood,Other
Florentia,Other
Floriana,Other
Fluminense,Brazil
Foggia Calcio,Other
Foligno,Other
Foolad,Other
Forest Green,Other
Fortuna Düsseldorf,1 Bundesliga
Fortuna Sittard,Eredivisie
Fraserburgh,Other
Fredrikstad,Norway
Frosinone Calcio,Serie A
Fulham FC,Premier League
Füchse Berlin,Other
G. Ajaccio,Other
G. Bordeaux,Other
GAIS,Sweden
GB Oftasspor,Other
GC Zürich U18,Other
GC Zürich U21,Other
GD Chaves,Liga Nos
GD Ribeirão,Other
GFCO Ajaccio,Other
GIF Sundsvall,Sweden
GKS Belchatow,Other
GNFC,Other
GO Audax,Other
GZ Evergrande,Other
Gaish,Other
Galatasaray,Turkey
Galway United,Other
Gamba Osaka,Other
Gaziantepspor,Turkey
Gazovik Orenburg,Other
Genclerbirligi,Other
Genoa 1893,Other
Genoa CFC,Serie A
Germ. Beerschot,Other
Getafe CF,Primera Division
Gil Vicente FC,Liga Nos
Gillingham FC,Other
Gimnasia,Argentina
Gimnàstic de Tarragona,Primera Division
Girona FC,Primera Division
Glentoran,Other
Gloria Bistrita,Other
Go Ahead Eagles Deventer,Other
Godoy Cruz,Argentina
Goiás EC,Other
Golden Arrows,Other
Gornik U19,Other
Granada 74 CF,Other
Granada CF,Primera Division
Grasshoppers,Other
Grazer AK,Austria
Grenoble Foot 38,Ligue 1
Grimsby Town,Other
Grodzisk,Polonia
Gron./Cam. U19,Other
Grosseto,Other
Grêmio,Brazil
Grödig,Austria
Guarani,Brazil
Guaratinguetá,Other
Guidars FC,Other
Gwarek Zabrze,Other
Górnik Zabrze,Polonia
H. Petah Tikva,Other
HB CFFC,Other
HJK Helsinki,Other
HNK Rijeka,Croatia
HNK Sibenik,Other
Hajduk Kula,Serbia
Hajduk Split,Croatia
Haladás,Hungary
Halesowen,Other
Halifax Town,Other
Halmstad,Sweden
Hamburger SV,1 Bundesliga
Hamilton Acad.,Other
Hammarby,Sweden
Hampton & Rich.,Other
Hannover 96,1 Bundesliga
Hapoel Haifa,Other
Hapoel Tel Aviv,Other
Hartlepool Utd.,Other
Haugesund,Norway
Heart of Midl.,Other
Hearts of Abuja,Other
Hednesford,Other
Hellas Verona,Serie A
Helmond Sport,Other
Helsingborg,Sweden
Heracles Almelo,Eredivisie
Herediano,Other
Hereford Utd.,Other
Herfölge BK,Other
Hertha BSC,1 Bundesliga
Hibernian FC,Scotland
Hilal,Other
Histon FC,Other
Holstein Kiel,Other
Honvéd,Other
Honvéd FC,Hungary
Horizont,Other
Houston,Usa
Hradec Králové,Other
Hrv Dragovoljac,Other
Huachipato FC,Chile
Huddersfield Town,Premier League
Hull City,Premier League
Huracán,Argentina
Hvidovre IF,Other
Häcken,Sweden
Hércules CF,Primera Division
IFK Göteborg,Sweden
Imperial Acad.,Other
Indep. Medellín,Other
Indep. Santa Fe,Other
Independiente,Argentina
Indios,Mexico
Instituto AC,Other
Inter Allies,Other
Inter Bratislava,Other
Inter Zapresic,Other
Internacional,Brazil
Inverness Cal.,Other
Ipatinga FC,Other
Ipswich Town,Premier League
Iraklis,Greece
Iraty SC,Other
Ismaily,Other
Istanbulspor,Other
Istra 1961 U19,Other
Ittihad,Other
Ituano,Other
Iwuanyanwu Nat.,Other
JEF Utd. Chiba,Other
JMalucelli,Other
JS Kabylie,Other
JS Suning,Other
Jagiellonia,Polonia
Jagodina,Serbia
Jaguares,Mexico
Jahn Regensburg,Other
Jeanne d'Arc,Other
Jeju Utd.,Other
Juan Aurich,Other
Junior FC,Other
Juve Stabia,Other
Juventud,Uruguay
Juventude,Brazil
Juventus FC,Serie A
Jönköping,Sweden
Júbilo Iwata,Other
K. Offenbach,Other
KAA Gent,Belgium
KAS Eupen,Belgium
KF Skënderbeu,Other
KF Vllaznia,Other
KF Vushtrria,Other
KFC Uerdingen 05,1 Bundesliga
KFC Verbr. Geel,Other
KRC Genk,Belgium
KS Samara,Other
KSC Lokeren,Other
KSK Beveren,Belgium
KSV Roeselare,Belgium
KV Kortrijk,Belgium
KV Mechelen,Belgium
KV Oostende,Belgium
Kadji Sports,Other
Kairat Almaty,Other
Kaizer Chiefs,Other
Kalmar FF,Sweden
KamAZ Naberezhnye Chelny,Other
Kamen Ingrad,Croatia
Kansas,Usa
Kaposvár,Hungary
Karlsruher SC,1 Bundesliga
Karpaty,Ukraine
Kashima Antlers,Other
Kashiwa Reysol,Other
Kasimpasa,Other
Kawasaki Front.,Other
Kawkab Marrakech,Other
Kayserispor,Turkey
Kettering Town,Other
Kickers Emden,Other
Kidderminster,Other
Kilmarnock FC,Scotland
Kocaelispor,Turkey
Konyaspor,Turkey
Korona Kielce,Polonia
Krasnodar 2,Other
Krylya Sovetov Samara,Premier Liga
Kuban Krasnodar,Premier Liga
Kyoto Sanga,Other
LASK,Austria
LB Châteauroux,Other
LD Alajuelense,Other
LDU Quito,Other
LKS Lodz,Other
LOSC Lille,Ligue 1
Landskrona,Sweden
Lanús,Argentina
Latina Calcio,Other
Lausanne-Sport,Switzerland
Le Mans FC,Other
Le Mans UC 72,Other
Le Mans Union Club 72,Ligue 1
Lech Poznan,Other
Lechia Gdansk,Other
Leeds United,Premier League
Legia Warszawa,Other
Leicester City,Premier League
Leixões SC,Liga Nos
Lemona,Other
Leningradets,Other
Leones FC,Other
Levante UD,Primera Division
Levski Sofia,Other
Leyton Orient,Other
León,Mexico
Liaoning FC,Other
Lib.-St.-Seurin,Other
Libertad,Other
Lienden,Other
Lierse SK,Belgium
Lillestrøm SK,Norway
Limerick FC,Other
Lincoln City,Other
Linense-SP,Other
Linfield,Other
Litex Lovetch,Other
Liverpool FC,Premier League
Livingston FC,Scotland
Lobi Stars,Other
Lok. Plovdiv,Other
Lok. Sofia,Other
Loko Moscow,Other
Loko Tashkent,Other
Loko-Kazanka M.,Other
Lokomotiv Moscow,Premier Liga
Longford Town,Other
Lorca Dep.,Other
Louh.-Cuiseaux,Other
Louletano,Other
Lucchese,Other
Luch Vladivostok,Other
Ludogorets,Other
Lupa Piacenza,Other
Luqueño,Other
Luton Town,Premier League
Lyngby BK,Denmark
Lyngby FC,Other
M. Petah Tikva,Other
M. Swallows,Other
M. Tel Aviv,Other
MC Oran,Other
MFK Košice,Other
MK Dons,Other
MSK Zilina,Other
MSP Szamotuly,Other
MSV Duisburg,1 Bundesliga
MTK Budapest,Hungary
MTK Hungária,Other
MVV Maastricht,Eredivisie
MYPA,Other
Maccabi Haifa,Other
Maccabi Netanya,Other
Macclesfield,Other
Madureira-RJ,Other
Maga,Other
Maldonado,Other
Malmö FF,Sweden
Manchester City,Premier League
Manchester United,Premier League
Mangasport,Other
Mansfield Town,Other
Maputo,Other
Melbourne,Other
Melbourne City,Other
Melbourne Heart,Other
Metalist,Ukraine
Metallurg D.,Other
Metalurgs,Other
MetroStars,Other
Middlesbrough FC,Premier League
Miedz Legnica,Other
Milan AC,Serie A
Millwall FC,Premier League
Mineros,Other
Mirassol-SP,Other
Mjällby,Sweden
Mladá Boleslav,Other
Modena FC,Serie A
Modrica Maxima,Other
Mogi Mirim,Brazil
Mogren Budva,Other
Molde,Norway
Monarcas Morelia,Mexico
Monte Alegre Futebol Clube (SP),Other
Monte Azul-SP,Other
Monterrey,Mexico
Montijo,Other
Montpellier HSC,Ligue 1
Monza,Other
Mordovia Saransk,Premier Liga
Moreirense FC,Liga Nos
Morton,Scotland
Motherwell FC,Scotland
Mouscron,Belgium
Muçulmana,Other
Málaga CF,Primera Division
NA Hussein Dey,Other
NAC Breda,Eredivisie
ND Gorica,Other
NEC Nijmegen,Eredivisie
NK Celje,Other
NK Domzale,Other
NK Istra,Croatia
NK Lokomotiva,Croatia
NK Maribor,Other
NK Marsonia,Other
NK Olimpija,Other
NK Osijek,Croatia
NK Zadar,Croatia
NK Zagreb,Croatia
NY Red Bulls,Usa
NYCFC,Other
Naval 1º de Maio,Liga Nos
Necaxa,Mexico
Neftekhimik,Other
Newcastle United,Premier League
Newell's,Argentina
Newport County,Other
Nordsjaelland,Other
Norrköping,Sweden
Northampton,Other
Norwich City,Premier League
Notodden,Other
Nottingham Forest,Premier League
Nottm Forest,Other
Notts County,Other
Novara Calcio 1908,Serie A
Nuneaton,Other
Náutico,Brazil
Nîmes Olympique,Ligue 1
O'Higgins,Chile
O. Khouribga,Other
OFI Crete,Greece
OFK Beograd,Serbia
OGC Nice,Ligue 1
Odds BK,Norway
Odense BK,Denmark
Odivelas,Other
Odra Wodzislaw,Other
Olbia,Other
Oldham Athletic,Premier League
Olimpia,Other
Olimpo,Argentina
Olymp. Lyon B,Other
Olympiacos,Greece
Olympique Lyon,Ligue 1
Olympique Marseille,Ligue 1
Once Caldas,Other
Orlando Pirates,Other
Osmanlispor,Other
Otelul Galati,Other
Oxford United,Other
PAOK Salonika,Other
PAS Giannina,Greece
PEC Zwolle,Eredivisie
PFK Lviv,Other
PFK Tambov,Other
PSV Eindhoven,Eredivisie
PSV Rostock,Other
Palmeiras,Brazil
Panathinaikos,Greece
Pandurii,Romania
Panionios,Greece
Panthrakikos,Greece
Panthère du Ndé,Other
Paradou AC,Other
Paraibano-PB,Other
Paraná,Brazil
Paris FC,Other
Paris Saint-Germain,Ligue 1
Parma Calcio 1913,Serie A
Parma FC,Serie A
Parra. Power,Other
Partick Thistle,Scotland
Partizan,Serbia
Pas Teheran,Other
Pau FC,Other
Pavia,Other
Paços Ferreira,Other
Pelister Bitola,Other
Penapolense-SP,Other
Persepolis,Other
Perth Glory,Other
Peterborough United,Premier League
Petro Luanda,Other
Petrolul,Romania
Peñarol,Uruguay
Pfeddersheim,Other
Piacenza FC,Serie A
Piast Gliwice,Polonia
Pistoiese,Other
Planète Champ.,Other
Platanias,Greece
Plymouth Argyle,Premier League
Pogon Szczecin,Other
Pohang Steelers,Other
Pol. Warsaw,Other
Poli Ejido,Other
Poli. Timisoara,Other
Polonia Bytom,Polonia
Ponferradina,Other
Ponte Preta,Brazil
Pontedera,Other
Port Vale,Other
Portadown,Other
Portimonense SC,Liga Nos
Portsmouth FC,Premier League
Portuguesa,Brazil
Pr. Niederkorn,Other
Prato,Other
Preston NE,Other
Preston North End,Premier League
Preußen Münster,Other
Pro Vercelli,Other
Prog. Bukarest,Other
Progresso,Other
Proleter,Serbia
Pusan Daewoo,Other
Puskás AFC,Other
Pyunik Yerevan,Other
QPR,Other
Qarabag Agdam,Other
Queens Park Rangers,Premier League
Quilmes,Argentina
Quindío,Other
R. Strasbourg,Other
RAEC Mons,Belgium
RB Leipzig,1 Bundesliga
RB Salzburg,Austria
RBC Roosendaal,Other
RC Lens,Ligue 1
RC Strasbourg Alsace,Ligue 1
RCD Espanyol Barcelona,Primera Division
RCD Mallorca,Primera Division
RKC Waalwijk,Eredivisie
RNK Split,Croatia
RSC Anderlecht,Belgium
RSC Charleroi,Other
RW Erfurt U19,Other
RW Essen,Other
RW Frankfurt,Other
RW Oberhausen,Other
Rabotnicki,Other
Racing Club,Argentina
Racing Santander,Primera Division
Rad,Other
Radnicki K.,Serbia
Radnik,Other
Rafaela,Argentina
Rah Ahan,Other
Raith Rovers,Scotland
Raja Casablanca,Other
Randers FC,Denmark
Rangers Talca,Other
Rapid Bucharest,Other
Rapid Vienna,Austria
Ravenna,Other
Rayo Vallecano,Primera Division
Reading FC,Premier League
Real Betis Balompié,Primera Division
Real Madrid,Primera Division
Real Murcia CF,Primera Division
Real Oviedo,Primera Division
Real SC,Other
Real Sociedad,Primera Division
Real Valladolid CF,Primera Division
Real Zaragoza,Primera Division
Recr. Huelva,Other
Recre Granada,Other
Recreativo Huelva,Primera Division
Red Star,Serbia
Reggina Calcio,Serie A
Renate,Other
Rende,Other
Renova,Other
Rentistas,Uruguay
Revolution,Usa
Rieti,Other
Rimini,Other
Rio Ave FC,Liga Nos
Rio Branco-SP,Other
River Plate,Argentina
RoPS,Other
Rochdale,Other
Roda JC Kerkrade,Eredivisie
Rosenborg,Other
Rosenborg BK,Norway
Ross County,Scotland
Rostselmash Rostov,Other
Rot Weiss Ahlen,Other
Rot-Weiß Erfurt,Other
Rotherham United,Premier League
Rotor Volgograd,Premier Liga
Royal Antwerp,Belgium
Rubin Kazan,Premier Liga
Ruch Chorzow,Other
Rudar Velenje,Other
Rush. & Diamon.,Other
Rustavi,Other
Ruzomberok,Other
Rydaholms GoIF,Other
SBV Excelsior Rotterdam,Eredivisie
SC 04 Schwabach,Other
SC Bastia,Ligue 1
SC Beira-Mar,Liga Nos
SC Braga,Liga Nos
SC Cambuur-Leeuwarden,Eredivisie
SC Fortuna Köln,Other
SC Freiburg,1 Bundesliga
SC Heerenveen,Eredivisie
SC Norderstedt,Other
SC Olhanense,Liga Nos
SC Paderborn 07,1 Bundesliga
SC Union 06,Other
SC Verl,Other
SCO Angers,Ligue 1
SD Compostela,Primera Division
SD Eibar,Primera Division
SD Huesca,Primera Division
SD Luneng,Other
SE Gama,Other
SFC Opava,Other
SG Dynamo Dresden,1 Bundesliga
SG Wattenscheid 09,1 Bundesliga
SH SIPG,Other
SH Shenhua,Other
SK Brann,Norway
SK Tavriya,Other
SKA Khabarovsk,Premier Liga
SL Benfica,Liga Nos
SM Caen,Ligue 1
SO Cholet,Other
SPAL,Serie A
SPAL 2013,Serie A
SS Lazio,Serie A
SS Milazzo,Other
SSC Napoli,Serie A
SSV Reutlingen,Other
SSV Ulm 1846,1 Bundesliga
SShOR Zenit,Other
SV Darmstadt 98,1 Bundesliga
SV Kapfenberg,Other
SV Lippstadt 08,Other
SV Mattersburg,Austria
SV Meppen,Other
SV Ried,Austria
SV Sandhausen,Other
SV Wehen,Other
SV Werder Bremen,1 Bundesliga
SW Essen,Other
Saburtalo,Other
Sachsen Leipzig,Other
Sagan Tosu,Other
Salt Lake,Usa
Sambenedettese,Other
Samsunspor,Turkey
San Felipe,Other
San Francisco,Usa
